X,CH1,
Second,Volt,
-7.48100e-06,1.74e-02,
-7.48000e-06,9.92e-03,
-7.47900e-06,7.44e-03,
-7.47800e-06,1.49e-02,
-7.47700e-06,3.22e-02,
-7.47600e-06,5.46e-02,
-7.47500e-06,7.68e-02,
-7.47400e-06,9.17e-02,
-7.47300e-06,9.42e-02,
-7.47200e-06,8.92e-02,
-7.47100e-06,7.19e-02,
-7.47000e-06,6.44e-02,
-7.46900e-06,5.95e-02,
-7.46800e-06,6.69e-02,
-7.46700e-06,8.68e-02,
-7.46600e-06,1.12e-01,
-7.46500e-06,1.29e-01,
-7.46400e-06,1.39e-01,
-7.46300e-06,1.34e-01,
-7.46200e-06,1.26e-01,
-7.46100e-06,1.07e-01,
-7.46000e-06,9.42e-02,
-7.45900e-06,8.68e-02,
-7.45800e-06,8.92e-02,
-7.45700e-06,1.02e-01,
-7.45600e-06,1.14e-01,
-7.45500e-06,1.24e-01,
-7.45400e-06,1.31e-01,
-7.45300e-06,1.24e-01,
-7.45200e-06,1.12e-01,
-7.45100e-06,8.68e-02,
-7.45000e-06,7.19e-02,
-7.44900e-06,6.69e-02,
-7.44800e-06,7.19e-02,
-7.44700e-06,7.93e-02,
-7.44600e-06,8.92e-02,
-7.44500e-06,9.42e-02,
-7.44400e-06,9.17e-02,
-7.44300e-06,8.43e-02,
-7.44200e-06,6.94e-02,
-7.44100e-06,4.96e-02,
-7.44000e-06,4.22e-02,
-7.43900e-06,3.47e-02,
-7.43800e-06,3.72e-02,
-7.43700e-06,4.46e-02,
-7.43600e-06,5.21e-02,
-7.43500e-06,5.21e-02,
-7.43400e-06,4.96e-02,
-7.43300e-06,3.47e-02,
-7.43200e-06,1.98e-02,
-7.43100e-06,0.00e+00,
-7.43000e-06,-7.44e-03,
-7.42900e-06,-1.24e-02,
-7.42800e-06,-1.24e-02,
-7.42700e-06,-7.44e-03,
-7.42600e-06,-2.48e-03,
-7.42500e-06,-4.96e-03,
-7.42400e-06,-1.49e-02,
-7.42300e-06,-2.98e-02,
-7.42200e-06,-4.71e-02,
-7.42100e-06,-6.44e-02,
-7.42000e-06,-6.94e-02,
-7.41900e-06,-7.19e-02,
-7.41800e-06,-6.44e-02,
-7.41700e-06,-5.95e-02,
